week,date_iso,locale,channel,asset_type,working_title,target_url_or_handle,owner,kpi,status,compliance_notes
1,T-2_Mon,tr,instagram,reel_60s,"TMS nedir? 60 saniyede özet",ig:reel,OB+AG,reach_2k,planned,no_superlatives
1,T-2_Wed,tr,instagram,reel_60s,"Ağrı nasıl başlar? Bütüncül bakış",ig:reel,OB+AG,reach_2k,planned,info-only
1,T-2_Thu,tr,threads,thread,"TMS tedavisi: 5 yanlış bilinen şey",threads,AG,reach_1k,planned,info-only
1,T-2_Fri,tr,linkedin,post,"Bütüncül nöroloji nedir? Bir hekimin notu",linkedin,AG,impressions_500,planned,info-only
2,T-1_Mon,tr,instagram,reel_60s,"Evde EEG mümkün mü?",ig:reel,OB+AG,reach_2k,planned,info-only
2,T-1_Wed,tr,blog,article,"TMS Nedir? Mekanizma ve Klinik Kullanım",/blog/tms-nedir,AG,publish,drafted,evidence_cited
2,T-1_Wed,en,blog,article,"What is TMS? Mechanism and Clinical Use",/en/blog/tms-nedir,AG,publish,drafted,evidence_cited
2,T-1_Thu,tr,instagram,carousel,"TMS prep checklist (ön hazırlık)",ig:carousel,AG,saves_50,planned,info-only
2,T-1_Fri,tr,instagram,reel_45s,"Konuşmak için 30 dakika — ilk muayenede ne olur?",ig:reel,OB+AG,reach_2k,planned,info-only
3,T0_Mon,tr,email,broadcast,"Yeni randevu sistemi yayında — eski hastalarımıza",email_existing_list_tr,CL,open_rate_30%,drafted,marketing_consent_only
3,T0_Mon,en,email,broadcast,"Our new appointment system is live",email_existing_list_en,CL,open_rate_30%,drafted,marketing_consent_only
3,T0_Mon,tr,instagram,post,"Yeni site + ilk randevu sistemimiz açıldı",ig:post,AG,reach_5k,drafted,info-only
3,T0_Mon,tr,whatsapp,broadcast,"Doktor Bak ile artık online randevu — opt-in liste",whatsapp_business,CL,delivered_500,drafted,wa_template_approved
3,T0_Wed,tr,blog,article,"Migren ve TMS: Klinik Yaklaşım",/blog/migren-tms,AG,publish,drafted,evidence_cited
3,T0_Wed,tr,instagram,reel_60s,"Migrenden mucize beklemeyin — beklemeniz gerekenleri anlatalım",ig:reel,OB+AG,reach_3k,planned,never_use_word_mucize_in_caption
3,T0_Fri,tr,blog,article,"Tedaviye Dirençli Depresyon: Yeni Seçenekler",/blog/tedaviye-direncli-depresyon,AG,publish,drafted,evidence_cited
4,T+1_Mon,tr,instagram,reel_60s,"Nöral terapi sonrası nasıl hissedersiniz?",ig:reel,OB+AG,reach_2k,planned,no_outcome_guarantee
4,T+1_Tue,tr,blog,article,"Nöropatik Ağrı: Tanı ve Tedavi Yaklaşımları",/blog/noropatik-agri-tedavi,AG,publish,drafted,evidence_cited
4,T+1_Wed,tr,blog,article,"Glutatyon IV: Bilinen ve Bilinmeyen",/blog/glutatyon-iv,AG,publish,drafted,from_info_txt
4,T+1_Thu,en,blog,article,"Glutathione IV: What the Evidence Says",/en/blog/glutatyon-iv,AG,publish,drafted,from_info_txt
4,T+1_Fri,tr,instagram,carousel,"Huzursuz Bacak Sendromu — 5 sık soru",ig:carousel,AG,saves_60,planned,info-only
4,T+1_Fri,tr,threads,thread,"Pediatrik nörolojide bekleme süreleri ve evde değerlendirme",threads,AG,reach_1k,planned,info-only
5,T+2_Mon,tr,blog,article,"Anksiyete Bozukluğunda TMS: Kimler İçin?",/blog/anksiyete-tms,AG,publish,planned,evidence_cited
5,T+2_Tue,tr,instagram,reel_60s,"OKB ve TMS: gerçekçi beklentiler",ig:reel,OB+AG,reach_2k,planned,no_outcome_guarantee
